id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name
1882,2020-03-21 00:08:16.786573+00,2e9c598e-8cf3-4ce3-9661-1f1701fb6179,0242ac12-0005-952d-a662-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,69,2,host0320a
1883,2020-03-21 00:08:16.78547+00,0242ac12-0005-952d-a662-00000000000f,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,69,,""
1884,2020-03-21 00:08:16.826105+00,466a3b01-c8e6-40b9-a7e4-5d9025774638,0242ac12-0005-952d-a662-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,69,1,host0320b
1885,2020-03-21 00:08:17.315178+00,c1aa21e3-0299-4e0e-a65c-cca2429da96b,0242ac12-0005-952d-a662-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,69,2,host0320a
1886,2020-03-21 00:08:17.384473+00,c270a048-064d-4cd3-960e-7132077f87ee,0242ac12-0005-952d-a662-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,69,1,host0320b
1887,2020-03-21 00:08:17.407583+00,7ad80da0-4a9b-44ad-95d8-e72b04363cae,0242ac12-0005-952d-a662-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1888,2020-03-21 00:08:17.405853+00,0242ac12-0005-952d-a662-000000000010,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,,""
1889,2020-03-21 00:08:17.462113+00,b1505efc-7ca1-4f4b-ab76-7249484a6f38,0242ac12-0005-952d-a662-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
1890,2020-03-21 00:08:18.117642+00,8e62f8dd-ed67-4c14-8292-c0a2e863e0e0,0242ac12-0005-952d-a662-000000000010,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1891,2020-03-21 00:08:18.197111+00,0242ac12-0005-952d-a662-00000000004a,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""package""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,69,,""
1892,2020-03-21 00:08:18.173215+00,bfcd4d28-02e9-4747-8d53-d6f84519ff43,0242ac12-0005-952d-a662-000000000010,playbook_on_include,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,,""
1893,2020-03-21 00:08:18.200649+00,315a8e57-8d11-4a85-8745-cb35fca1d72f,0242ac12-0005-952d-a662-00000000004a,runner_on_start,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,69,2,host0320a
1894,2020-03-21 00:08:18.134875+00,7b64746a-9465-470b-a345-2a0a2f55a101,0242ac12-0005-952d-a662-000000000010,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
1895,2020-03-21 00:08:18.244302+00,34f0f446-bea5-4241-ae6d-b4d24bc638ed,0242ac12-0005-952d-a662-00000000004a,runner_on_start,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,69,1,host0320b
1896,2020-03-21 00:08:19.758583+00,356e30c3-46be-44d4-af8c-41ca947242a2,0242ac12-0005-952d-a662-00000000004a,runner_on_ok,"""package""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,69,1,host0320b
1897,2020-03-21 00:08:29.449793+00,0242ac12-0005-952d-a662-000000000011,0242ac12-0005-952d-a662-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,,""
1898,2020-03-21 00:08:29.450894+00,8a329226-33b2-4185-8a35-ec8dfa40d7eb,0242ac12-0005-952d-a662-000000000011,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,2,host0320a
1899,2020-03-21 00:08:29.423634+00,3f991dd9-6265-4c8c-b5ef-e6b7e053dbdc,0242ac12-0005-952d-a662-00000000004a,runner_on_ok,"""package""",f,t,centos_security_updates.yml,use galaxy centos_security_updates role,Install fail2ban.,geerlingguy.security,69,2,host0320a
1900,2020-03-21 00:08:29.499303+00,496385ea-0a9e-44f5-881f-351c8121986c,0242ac12-0005-952d-a662-000000000011,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
1901,2020-03-21 00:08:30.003597+00,febdab68-ae28-4125-b725-c88d6fc9e070,0242ac12-0005-952d-a662-000000000011,runner_on_skipped,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,69,1,host0320b
1902,2020-03-21 00:08:30.029366+00,b0579846-6bb4-4829-89c2-ad8090291b3c,0242ac12-0005-952d-a662-000000000012,runner_on_start,"""service""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Ensure fail2ban is running and enabled on boot.,geerlingguy.security,69,2,host0320a
